LABEL,DATE_TIME,preprocessed_txt
0,Mon May 18 07:19:41 2009,<s> pinkkpaiige12 go </s>
0,Fri May 29 10:46:55 2009,<s> pop pennsylvania rest stop hate use public toilets </s>
0,Sat May 30 09:39:43 2009,<s> enjoy doubt r sell houston </s>
0,Thu Jun 25 05:54:29 2009,<s> eat much shit lunch feel sick </s>
0,Tue Jun 16 16:08:47 2009,<s> brettkloesel yeah thank rude post see till post last one nice </s>
1,Sat Jun 06 17:09:09 2009,<s> date say technical people part decision make process </s>
1,Mon Jun 01 04:27:24 2009,<s> delete guess someone step declare twitter certainly attract spotlight </s>
0,Mon May 18 00:39:00 2009,<s> work tomorrow </s>
0,Sat Jun 20 04:17:38 2009,<s> poor daughter very 16 rock festival weekend hope drown get cold </s>
0,Fri Jun 19 08:29:19 2009,<s> early im go compete </s>
0,Thu Jun 18 16:45:07 2009,<s> really really really wan na go see maxwell concert ticket mad expensive tho </s>
0,Sun May 03 08:34:50 2009,<s> laurenbotzspons wish know life redir </s>
0,Tue Jun 02 01:41:44 2009,<s> way home work think sad miss 14 find barra poor family </s>
0,Mon Jun 01 06:36:11 2009,<s> tommcfly dougiemcfly dannymcfly mcflyharry philippines need please come mcflyinmanila mcflyinmanila mcflyinmanila </s>
1,Sat May 09 23:01:45 2009,<s> sell risk game need good day </s>
0,Tue Jun 16 21:40:54 2009,<s> ready bed make much </s>
1,Sun Jun 14 23:09:39 2009,<s> donniewahlberg bless c u especially meet u pittsburgh 1 best nights life honor meet u </s>
1,Thu May 14 03:52:26 2009,<s> softandpoofyone before get back see ya </s>
1,Mon Jun 01 16:11:21 2009,<s> that talk home behind back always em ery location that get ta love </s>
0,Sun May 03 02:11:24 2009,<s> realkidpoker wolverine know never gon na receive twitter reply get meet u vegas trip year </s>
1,Wed Jun 03 07:41:28 2009,<s> twishmay work something office cool </s>
1,Sat May 30 03:35:32 2009,<s> therounddiet hey love idea round diet book amazon yet </s>
1,Fri Jun 05 18:19:57 2009,<s> romaineami know love have two different convoy two different place next diff convoy myspace lol </s>
1,Tue Jun 02 06:32:37 2009,<s> green day livelavalive new idols sorry lace awesome voice compare hope settle number three </s>
0,Sun Jun 07 06:04:19 2009,<s> rayamartin ang gandaaa lt 3 gusts ko rin ng fresh croissant mmm </s>
1,Wed Jun 03 09:30:52 2009,<s> join spread love wave hi </s>
1,Sun Jun 07 02:29:40 2009,<s> wow night loss slightly infuriate south beach priceless </s>
1,Mon Jun 15 01:16:56 2009,<s> excite leave alto tower 16 hours </s>
0,Sun Jun 07 11:29:20 2009,<s> fan break pandora app item pandora </s>
0,Fri Jun 19 06:24:28 2009,<s> georgia theatre badly burn lot smoke lot street light dt </s>
1,Sun May 17 11:41:09 2009,<s> maria link wan na take look bookmark would make lot easier brain hurt </s>
1,Sun Jun 07 11:57:37 2009,<s> busy day get ta house chores amp get ready andrea belli show tonight hollywood bowl </s>
1,Thu May 28 23:33:18 2009,<s> calvinharris find culpa hot water help cookies know something better enjoy dooobai </s>
1,Fri May 01 23:36:24 2009,<s> jazzyfizza course smash </s>
1,Tue Jun 02 20:07:43 2009,<s> come back see nin want upload far song night show </s>
0,Mon Jun 15 15:31:48 2009,<s> chrisworthy get word grand open postpone credit card machine wo arrive </s>
0,Mon Jun 22 19:39:07 2009,<s> kevridesthecab na stick na rin sa akin yung song </s>
1,Mon Jun 01 18:05:32 2009,<s> dsbabygirl hey grl find u like here lol wish could go sit ya late buy six lol www cant wait </s>
1,Fri May 29 17:16:45 2009,<s> 6 followers 1000 go help </s>
0,Fri Jun 19 06:45:08 2009,<s> think clown far badly decompose funny scary </s>
0,Fri Jun 05 15:32:36 2009,<s> allergic www jealous sushi rotors piece salmon </s>
0,Sun May 03 22:22:18 2009,<s> mom appal tell eat spam taste really good </s>
0,Mon Jun 01 09:37:48 2009,<s> probably get virginia next </s>
0,Fri May 29 13:38:53 2009,<s> johnpapa friday already get fine china want want want still work </s>
1,Fri May 01 20:15:14 2009,<s> go bed soon tire gh sure tomorrow lt </s>
0,Fri May 01 20:33:44 2009,<s> writeplayrepeat probably wont make tomorrow due fact go rescue friend later tonight sorry </s>
0,Mon Jun 01 21:27:16 2009,<s> crunchpow know go pay back soon getknifed nick pay site ill make site </s>
0,Tue Jun 02 23:10:14 2009,<s> swear felt earthquake lol </s>
0,Tue Jun 02 13:33:23 2009,<s> hautepersian haha </s>
0,Sat May 30 08:44:27 2009,<s> sick past 3 days </s>
0,Thu Jun 18 16:04:16 2009,<s> glad truck even insure </s>
0,Fri Jun 19 05:37:04 2009,<s> main nchen hail raja logo ne murray seriously lena sharon aria hay </s>
0,Wed Jun 17 14:06:11 2009,<s> mrbenrubery puppies arent ready three weeks cry much lol never fear be find </s>
1,Sun Jun 07 05:46:42 2009,<s> teach 4 year olds </s>
1,Sun Jun 07 09:27:10 2009,<s> hear songs miley cyrus </s>
0,Mon Jun 01 22:01:06 2009,<s> oh feel sick rest night away hope feel better oxo virginia </s>
0,Fri May 01 21:24:54 2009,<s> realize lose entire itunes collection day seriously day gh </s>
0,Sun Jun 07 10:58:34 2009,<s> starve exhaust go get food </s>
1,Sun May 10 00:41:54 2009,<s> sasha help course </s>
1,Sun May 31 09:29:15 2009,<s> lamarlee key thank follow </s>
0,Sun Jun 21 07:42:29 2009,<s> www watch mv white horse taylor swift </s>
1,Sun Jun 07 10:29:58 2009,<s> go outside like feel rain skin yes weird know </s>
1,Mon Jun 01 09:25:43 2009,<s> yyyy daddy make grill cheese get home apologize late tire yell anyways though </s>
1,Sun Jun 07 11:53:49 2009,<s> pass twitter flu others </s>
1,Sun May 31 16:36:00 2009,<s> traceyfalk personal record real record book </s>
1,Sun Jun 07 02:07:45 2009,<s> shellrawlins mooooooorning </s>
1,Mon Jun 15 11:18:13 2009,<s> therealjordin wow deep battlefield beautiful inspiration lt 3 </s>
0,Fri May 29 02:31:08 2009,<s> pickassoreborn thank go rain weekend </s>
1,Fri Jun 05 18:35:43 2009,<s> thank canadian friends invent crown royale right amount problems forget </s>
1,Mon Jun 15 17:21:23 2009,<s> listen africa karl wolf quot gon na take alot drag away quot lt 3 </s>
1,Wed Jun 03 02:46:28 2009,<s> poetrysue lol x </s>
0,Sun May 10 10:02:35 2009,<s> stephenfry work blackberry </s>
0,Wed Jun 17 22:08:16 2009,<s> meet feel like death bed apparently withdraw medicine make sick </s>
1,Tue Jun 02 08:11:34 2009,<s> pussycat dolls jakarta please take brazil </s>
0,Fri Jun 05 13:02:00 2009,<s> musewire could get muse ticket fam ca afford expensive ones cry whenever someone say muse lie x </s>
1,Mon Jun 15 12:39:14 2009,<s> im happy finish deck look awesome </s>
1,Wed Jun 03 01:44:20 2009,<s> littlelisa69 miya 10 hop mobile tweet set today may drop go around </s>
0,Mon May 18 07:21:57 2009,<s> think something wrong uk2 live support offline amp email take hours come </s>
1,Sun May 10 19:01:15 2009,<s> busydiscoball yah geek term mean something like work use </s>
1,Sun Apr 19 08:55:11 2009,<s> thank parastoo nice friends original package quot friends quot room yoohooo </s>
0,Fri May 29 12:18:43 2009,<s> rosaliiinda practice piano ima wash whip later must </s>
1,Mon Jun 01 02:52:54 2009,<s> summer fantastic easy ride mtb fiancee must start read vat tax </s>
0,Fri May 29 07:34:47 2009,<s> forget set alarm 6am ride hope get easy miles work tomorrow race gap </s>
0,Fri May 29 15:53:47 2009,<s> im happy </s>
1,Wed Jun 03 04:58:00 2009,<s> diamondblvd find plug 360 </s>
0,Wed Jun 17 12:54:01 2009,<s> courtney319 sad time should start leave bench quot free quot </s>
0,Thu May 14 04:15:11 2009,<s> peer pressure want kid kid mean mean kid grow mean adults </s>
1,Fri May 29 20:03:23 2009,<s> chicagolatina80 sorry hear make jam </s>
0,Mon Jun 01 08:06:13 2009,<s> gt get mix someone use fl </s>
0,Sun May 10 00:33:19 2009,<s> wonder always start pour rain light bb </s>
0,Mon Jun 15 17:02:46 2009,<s> lodie feel 15 realise 19 feel old ready let good time roll haha take xx </s>
1,Sat Jun 06 15:03:44 2009,<s> sj32 question </s>
1,Fri Jun 05 17:43:31 2009,<s> tommcfly poetry read night love poetry rhyme song </s>
1,Fri May 22 06:17:17 2009,<s> go calgary sunday even see caribouboy </s>
0,Fri May 22 04:32:32 2009,<s> gavin8 still </s>
1,Fri May 29 08:17:35 2009,<s> look forward see tonight </s>
1,Sun May 31 13:30:52 2009,<s> frommystudio weekly webcomic ca linger bad week script art go pretty quick 2 2 </s>
1,Sun May 31 03:36:05 2009,<s> hughes help book </s>
1,Fri May 29 23:32:12 2009,<s> kristenstewart9 best fun </s>
1,Sun May 10 10:04:46 2009,<s> car look good good price </s>
1,Fri Jun 05 14:33:17 2009,<s> gkarageorge screw read blog brother </s>
0,Fri May 29 16:35:34 2009,<s> delbertshoopman good luck footage none station break live </s>
1,Mon Jun 01 08:47:02 2009,<s> parkway know true winner also take lose much better </s>
1,Sat Jun 06 09:17:58 2009,<s> welshdrew look clip nice work try http help filter rubbish </s>
0,Sun May 03 16:54:01 2009,<s> catch drink water http </s>
1,Wed Jun 03 02:38:58 2009,<s> im go 2 sleep unite tweet </s>
0,Sun Jun 14 23:03:27 2009,<s> ca sleep school </s>
1,Mon Jun 15 18:38:10 2009,<s> wait zac brown band come ahhhhh </s>
0,Fri Jun 05 11:37:29 2009,<s> pirrofina tear lmaz thats cute </s>
0,Mon May 18 03:44:43 2009,<s> ridiculously sick aaaaaa </s>
0,Mon Jun 01 05:20:56 2009,<s> shannon yeah miss move apparently twitter real </s>
1,Fri May 22 03:29:57 2009,<s> voodoo today friday get ta get today 3 days fun </s>
1,Wed Jun 03 00:52:21 2009,<s> im begin hate perezhilton increase snobbishness stem rise fame ive find new favorite blogger </s>
1,Mon Jun 01 21:47:29 2009,<s> dufalbagent thank boo </s>
1,Mon Jun 15 01:52:24 2009,<s> drew123 thank play helluva movie enjoy </s>
0,Sun May 31 16:10:32 2009,<s> wake nap hope get sick </s>
0,Sun Apr 19 01:09:22 2009,<s> cultureshockmag sad n make sad amp colinmunroe come excite meet u wales crack canal tunnel </s>
0,Sun Jun 07 19:42:06 2009,<s> bnp european parliament seat happen 2 equality country come 2 sad time </s>
1,Mon Jun 01 15:57:26 2009,<s> davidarchie haha david exactly 333 update </s>
0,Tue Jun 16 08:01:33 2009,<s> matchesmalone yes exactly dont think consequences like us humans have2clear remain </s>
1,Sun May 31 11:07:43 2009,<s> good afternoon </s>
0,Mon May 11 21:46:34 2009,<s> day </s>
0,Mon Apr 20 22:54:37 2009,<s> analogs real cheese need membership </s>
1,Wed Jun 03 01:44:31 2009,<s> gailporter terrible programme call jeremy vile </s>
1,Sun May 31 00:19:28 2009,<s> hhh people bipolar days even funny haha </s>
1,Sun May 31 15:47:56 2009,<s> laniiblunts lol np love u </s>
1,Mon Jun 01 08:14:43 2009,<s> join twitter </s>
1,Mon May 18 05:17:17 2009,<s> bruxedo hi here hope like stuff </s>
0,Sun Jun 21 02:00:49 2009,<s> sadly n get shock see baby little sis get violence bf </s>
0,Sun Jun 07 13:17:16 2009,<s> miiikeo wish g house last night miss </s>
1,Sun May 10 08:29:02 2009,<s> windy6 remove acetona </s>
1,Sun Jun 07 15:14:01 2009,<s> kathybuckworth hey kathy daughter want come clean garage 50 buck </s>
0,Tue Jun 16 23:40:19 2009,<s> hungry </s>
0,Sun Jun 07 10:34:07 2009,<s> weekend go way fast </s>
1,Mon Jun 15 20:08:58 2009,<s> go blue sky come back clean cant wait til thursday </s>
0,Sun May 17 09:43:41 2009,<s> marylandrum nothing parent agree </s>
1,Sun Jun 07 14:55:23 2009,<s> tiiiink neither could first call benny </s>
0,Tue Apr 07 06:29:14 2009,<s> tonycarrera oh poor dear surgery sick ca seem catch break </s>
0,Sun Jun 07 17:32:02 2009,<s> bah hotel </s>
0,Mon Jun 15 06:35:14 2009,<s> get jonasbrothers new album today go concert london tonight </s>
1,Fri Jun 05 17:15:31 2009,<s> peterfacinelli have friends hope family great weekend </s>
1,Mon Jun 15 12:39:10 2009,<s> microgeist leave letter word quot brevity quot </s>
1,Mon Jun 15 17:37:38 2009,<s> quot cartography hedgehog quot yay </s>
0,Fri Jun 05 15:06:34 2009,<s> make strong squash </s>
1,Sun May 31 03:54:21 2009,<s> djtracyyoung get floor defy gravity </s>
0,Sun Jun 07 15:58:50 2009,<s> ankle op 7hours amp soo nervous nd sleep bt think l b awake site </s>
0,Sun Jun 21 00:00:20 2009,<s> nobody like year one review read disappoint maybe like since expect much </s>
1,Mon Jun 15 21:23:06 2009,<s> watch cause make smile http http comment rate subscribe far </s>
1,Fri May 29 09:44:30 2009,<s> djannalyze well nice make friends </s>
0,Fri May 22 08:49:58 2009,<s> sharma99 link break friend redo pls nd im call request sng </s>
1,Sat May 30 01:06:53 2009,<s> theroose good deal laura come know nothing </s>
1,Sun May 31 16:19:44 2009,<s> amp weekend shift apart drama one night ca exactly change forever ca wait leave tomorrow </s>
1,Tue Jun 16 08:04:11 2009,<s> vs stew jay meg sam haha </s>
1,Sat May 30 14:57:54 2009,<s> chloe amp jessica chloe feel dead skin back get ta love her </s>
1,Sun May 03 05:58:37 2009,<s> bigbadbob75 good plan </s>
0,Mon Jun 15 07:41:27 2009,<s> time get ready work super tire </s>
0,Fri Jun 19 04:44:56 2009,<s> ga stick counter 15 minutes vol </s>
