LABEL,sentances
0,dr office... hopefully finding out why i've been so sick  it's so hard to keep my eyes open
1,@cmrush niiice i love asuka...esp on weekdays they have GREAT sushi rolls for super cheap!  hope youre having a great weekend!!!
1,@nachojohnny ilove it too!! - think ive seen every episode possible.  ; how bout you ?? ..
1,"@teambudd1 Hahaha was that a funny reply? Hahaha Just saying, she is from Kansas and all. She can appreciate that. "
0,"@karon I just saw two, but they were small "
0,i feel like death...my next investment?going to the spa! i need a new body that can function  (via @IngaDurgin)i herd sleep is good 4 dat
1,"Goodnight everybody. See u tomorrow night or monday.  Ciao, my friends. xo  -a"
1,"Alright, now that I finally woke my ass up late as usual....it's coffee and green time! The best part of waking up.  Yeah I'm a dork."
0,Im bored  just trying to figure out all the profiles ive made on the net but cannot remember a bit brain dead at the moment 
0,@OfficialAS fair enough  I'll slap your vis comm teachers face? KK?! lmao but THURSDAY THURSDAY THURSDAY!
1,yesterday was fantastic!  saw my fam. from Oregon.. I missed them soo much!
1,@mrskutcher in Poland Mothers Day is on 26th May. 
1,@EastCoastGamblr I like it!  It's how I feel today.
1,LydiaStack @mitchelmusso when is the Australian relese? do you know? please write back 
1,now etf 
0,Back to work 
1,Beach day. Headed down with the cats to listen to the Yankees game and get the place cleaned up. And maybe read a little 
0,"Pulled out my oboe after a full year, &amp; definitely no longer at symphony level. I must remedy this at once! ...ow. My lips hurt now "
1,@nessie_111 f1 today?Oh well the world cup's really diverted all my attention. 
0,"@The_Gov poop, forgot about that "
1,"my package arrived, cheryl gave me more xiaomantous and the book I ordered with her. yay "
1,"@nakulshenoy Lol, that and &quot;twiiter killed the blogger&quot; are far apart. Btw, what is &quot;blogging in the traditional sense&quot; may i know? "
0,the test was not good  Probably going to get torrent!
1,@jeddimkins bahahah id advertise it with fat people 
0,is trying to be amusing. I canât make you laugh can I 
1,"@DannyMcEvoy haha! Leave Hull alone! Yeah, i'm doing it now mate "
1,good morning   Ugh i have to clean up my room -.-
0,"@uyennguyen_ NO! i wanted to  i was so upset the day of it, did you? "
1,"I've decided to run the laptop off the battery not the power cord, in case there's a power surge. Stormy "
1,hey.... someones happy  someone aka me!
0,On no my fear has come back!!  no ride for me...
0,@Peace_P so i knocked on your door to see if you wanted to go to KFC with me but I guess you were sleeping  lol
0,"@markvanbaale No, I didn't see anything -- watched for awhile earlier this evening but then had to get back to deadlines. "
1,"@Courtney_182 Well if you're breaking out the vodka, I'll have a lemon drop "
1,"grad. party, work 12-4, out with seth after...i love summer "
0,Really needs to start tanning the RIGHT arm ONLY from now on!!! Ugh! My left arm is SO dark from driving 
0,Is waiting for the scrappers to come to pick up his old Saab 
0,"Went to bed physically in pain, work up sicker then I've been in years...coffee "
0,Traffic is moving at snail's pace on Queen Street East. Streetcar moved one block in 10 minutes from University to York. 
1,@DavidArchie did they make you sing a song on stage? what song? &amp; glad you had fun 
0,"My web server is down again - very, very sorry for the inconvenience. Time to start shopping for a new host I guess "
1,@Smithycurt NOBBBBBYYY NOBBY NOB ROTTY  
0,tweetdeck stopped working on me  bahh
1,The hair looks sicckkkk.  Happy mothers day to all the mothers!
0,Stephanie Pratt Tells MTV News &quot;The Hills' Did Not Make Me Bulimic&quot; http://bit.ly/n4wL4 BETTER but still &gt; half the story is missing 
0,Where the hell did the weekend go??one second it was Friday and then i woke up to Monday.. sad sad sad state of afairs.. 
0,"So, #TweetDeck was updated to fix a crash, to do so they removed the minimize to systray, which totally blows "
0,@Fashionsourcing Thanks for the invite!! I am swamped so I won't be able to make it.  Who is leaving? Hopefully not you.
0,Really Tired Man 
0,lounging about.... got a sore head 
0,@alexispratsides thanks. lol. sadly I am 31!! waaahhhhh 
1,Bye everyone 
0,studin have a test tomorrow 
1,"NGL, Finishing that Effy/Emily fic where THEY GOT A PUPPY AND ARE IN SO MUCH LOVE ITS RIDICULOUS completely made my night. I'm ecstatic! "
1,"ROTFLMAO http://bit.ly/rwoHR   &quot;Muthu Kodi Kawadi Hada&quot; is tamil for &quot;Muthu, would u come for bath&quot; ... WTF! "
0,"hmm had to make a choice, decided to go to the Food Inc. reception and screening instead of hanging out at the #SCGeek dinner "
0,"tyrone  thanks for making my years at the golf course unforgettable, RIP"
1,@chuckiem Good night 
0,Dmv physical exam for shuttle job 
1,off to play golf with my wonderful husband who took the day off...kids still in school 
1,@MicheleKnight Awww Picasso is too cute! 
0,shower/smoke/no time for razzle dazzle 
0,I want Chinese for tea! Yet another leaflet came in through the mail slot a minute ago. Luton is really looking like a fast food haven 
0,Go away wasps 
1,"@jacdo Hey, Jacks, I was looking for a cool food place. Any suggestions?  *runs and hides*"
0,love it! Andy Richter is back! but what about Joel?  
1,"@Dj_SportsChick you are going to soo love it when Pink sings Glitter in the Air during her show, soo amazing and beautiful "
0,watching Army Wives and it always makes me cry 
0,"@johnny_trouble Ive been dealing with roomate CRAP, aside from that, nothing, cleaning ALOT and I will!! I miss abi  How have you been?"
1,just got pulled over by nevada state popos!! its quite grand 
1,"@HisFitness thanks!  I'm the marketing/PR guy on left, my canvass leader in center and our politician on the right. Tomorrow we #MITM4E!"
1,@AmazingPhil  Morning Roarface 
0,my arm still hurts from when i pulled it yesterday 
1,Just finished saying prayers 
1,"@Wendym00n yeah i don't watch a lot of new movies. actually, i don't watch a lot of movies. just doctor who. "
1,To be precise: *public* education is the best defense against *private* deflation 
0,Is at a kids party when I should be in the sun 
1,@nathalichristy les les dan less  aahahahah oi oi liburan kmn? hehe
1,Just painted the rims on my car he he he 
1,"@MATTHARDYBRAND you are so lucky to have such good friends, but I'm sure you already knew that "
0,"Finished 12 out the money in the $55 1 A+R on stars, played far too aggressive trying to build monster stack approaching bubble  x x"
1,At kk's nani and tati's! I love her family.  going to grad night soon?
1,@MaryJoRs Your back!  I thought you left us
1,If you use StumbleUpon Please give my site The Thumbs Up  http://su.pr/1rXuPY
1,@bedoggtde http://twitpic.com/6b03x - Awww my little cousin in cute... she get it from her daddy! 
0,i bet i was mistaking.. nah i'm not surprised 
0,@omerrr I was hoping SubZERO was an ice creap party 
1,@mommo9000 thanks. If you feel the need to fly I have a paitnbrush with ur name on it  and bring that Linux guru with you ;)
1,"@SupaSash11 i am a cavs fan for this series, but if they pay the lakers- ill be rooting for the lakers "
0,Stuck in the rain..... boohoo. 
1,Watching T.v. whilst on the phone 
1,@MAYAHZONFIYA SORRIE I AIN'T GET A CHANCE 2 STICK AROUND LONGER 
0,is goin out  to  dinner! 
0,@BabyBree96  hide your kittys!! 
1,prince harry is one blockk awayy x3 
0,So hungry  waiting for history to start
1,Wussup new followers!! 
1,@egoodlett and @angelajames thank you both for helpin me out your very kind 
0,@David_Henrie can you say a prayer for my friend Chealse because she just lost her dad.  so i wont see her at my younglife group so ye ...
0, today sucks
1,r @rafaelvandyke Found a hole in 11YO son's bedroom wall. Momma was not happy! &gt; Were there toys strategically stacked over it? 
0,"have a headache, but that won't keep me from my twitter! so, tired of all the gossip, my heart breaks everytime his name and HER come up "
1,6 daays until i go away on duke of ed. im like really excited 
0,I miss my baby; I know he's sleep @ his grandma house missin his mommy 
0,Totally bummed out that I won't see my buddy Nels on Monday 
0,"I have a Celine Dion song stuck in my head.    That statement is sort of a summary of how things have gone today.  Okay, not THAT bad. O:/"
0,Good morning twitter! I set the microwave @ work on fire again!!! not allowed 2 use it anymore  &amp; ppl wonder why I dont hav 1 @ home.
1,@rainbowsleeve thanks for passing on the word re: no plastic bags petition (http://tinyurl.com/dk5p94) 
0,"small problem when testing the php/mysql demo, need to use two seperate browsers to test otherwise the cookie code gives me same name "
0,"@ChrisCavs I could send you some of the spam replies I got after that tweet, probably won't help though. "
1,yeah its raining .. gonna be a good cycle in 
1,@shaundiviney  Maybe one from Oasis 
1,@stephenfry Few things I've found better for settling myself in after a long trip than wandering around London. 
1,Im in such a happy mood again 
0,"I can't believe an entire plane full of people, a BIG plane full of people just disappeared. This is absolutely screwed up. "
0,@pinkkpaiige12  What's going on? 
0,Pooping in a Pennsylvania rest stop!  I hate using public toilets 
0,Enjoy No Doubt! They r sold out in Houston....  
0,Ate too much shit at lunch  Feel sick now!
0,@BrettKloesel yeah thanks for the rude post. Didn't see it till after I posted that last one. Nice 
1,@zate all i can say is that no technical people had any part in the decision making process 
1,@edlee I guess someone had to step up and declare that Twitter is over-hyped. Certainly attracts the spotlight. 
0,no work tomorrow 
0,"and my poor daughter (Vero, 16) is on a Rock festival for this weekend...hope she will not drown or get a cold "
0,Its so early for me to be up!!  im going campening!
0,I really really really wanna go see Maxwell in concert....his tickets are mad expensive tho 
0,@laurenbotzspons I wish I knew why your life was redic. 
0,Is on his way home after work. And thinks it's sad the missing 14 y/o was found in the Yarra. His poor family 
0,@tommcfly @dougiemcfly @dannymcfly @mcflyharry THE PHILIPPINES NEEDS YOU! PLEASE COME HERE  #mcflyinmanila #mcflyinmanila #mcflyinmanila
1,Selling artwork+ risk game with the boys+ startrek= just what i needed. What a good day 
0,I'm ready for bed...Madi not so much 
1,@DonnieWahlberg It's a blessing to c u! Especially meeting u in Pittsburgh! 1 of the best nights of my life! It was an honor meeting u 
1,@softandpoofyone Not beofre I get back to see ya! 
1,"Thas You....that talks about your homies behind they back,but you always with em ery location he be at.....thas you!!!! Gotta love z-ro "
0,@RealKidPoker You're in Wolverine?! Now I know I'm never gonna receive a Twitter reply or get to meet u during my Vegas trip this year. 
1,@twishmay I'm working on something for my office. and its cool 
1,@TheRoundDiet Hey! Love the idea of a round diet  Are you books on Amazon yet?
1,@romaineami I know.  I love how we're havin two different convos in two different places. what next ? a diff convo on myspace ? lol
1,"Green Day and livelavalive = new IDOLS... Sorry Lacey, but your awesome voice cannot compare... i hope you'll settle for number three  ..."
0,@rayamartin ang gandaaa &lt;3  gusto ko rin ng fresh croissant. mmm
1,@Joenid ... spreading the love ...  *waves* HI !!!
1,Wow. Night out with my LSs.. Slightly inebriated and on South Beach... PRICELESS 
1,Very Excited....!!! Leaving for Alton Towers in 16 Hours  
0,@Affan a freaking pandora app!!!!!!!!!!!!! there is last.fm and imeem but no pandora 
0,Georgia theatre badly burned  Lots of smoke and lots of street lights out dt
1,@mahika what was that link again. I wanna take a look @ it and bookmark it  would make it a lot easier on my brain. It hurts after that!
1,Busy day...gotta do house chores &amp; get ready for the Andrea Bocelli show tonight @ the Hollywood Bowl! 
1,@calvinharris i find a cuppa hot water helps the loogies out... and we all know somethings are better out than in  enjoy Dooobai.
1,"@jazzyfizza of course, we'd smash there "
1,Just came back from seeing NIN. I want to upload my fav song of the night and show you all 
0,@chrisworthy Just got word the grand opening has been postponed  Her credit card machine won't arrive before then.
0,@kevridesthecab na stuck na rin sa akin yung song 
1,@DsBabyGirl hey grl!!! found u that's more like it... hehe lol  wish I could go this sat w/ ya to late to buy a tix!!! lol awww cant wait
1,6 more followers to 1000! Who's going to help?  
0,I think these clowns are far too badly decomposed to be funny. Or scary 
0,@allergist Aww jealous! Sushi roxxors  Have a piece of Salmon for me! :-D
0,My mom was appalled when I told her I ate Spam  it tasted really good...
0,probably getting virginia next 
0,@johnpapa 4:30 on a Friday and you've already got out the fine china? I want I want I want in on it - still at work. 
1,Going to bed soooo tired ugh not sure what i'm doing tomorrow w.e              &lt;/3
0,@writeplayrepeat probably wont make it tomorrow due to the fact that I have to go rescue a friend later tonight.... sorry 
0,@crunchpow I know I do!!!   I was going to pay you back as soon as getknifed Nick paid me for the site I'm doing. But Ill make you a site!
0,i swear i just felt a earthquake  lol
0,@HautePersian that should be an  ahaha
0,has been sick for the past 3 days 
0,So glad i have a truck again.. even if it isn't insured 
0,main naheen khail raha loagon ne mujhay seriously lena shuroo kardia hay 
0,@MrBenRubery The puppies arent ready for three weeks  i cried so much lol but never fear weve found some more (:
1,is off to teach her 4 year olds! 
1,I hear songs from Miley Cyrus 
0,"o oh. feeling sick.  - resting the night away. hope i feel  better - xoxo,Virginia"
0,just realized i lost MY ENTIRE itunes collection..  What A DAY..SERIOUSLY!!..WHAT A DAY! UGH!
0,Starving but too exhausted to go get food.. 
1,"Sasha's helped too, of course "
1,@LamarLee Heys Thanks For Following 
0,aww.. watching the MV of White horse by Taylor Swift. 
1,going outside. I like to feel the rain on my skin  Yes I'm weird I know ;)
1,Yayyy  my daddy is making me grilled cheese when we get home to apologize for being late. I'm too tired to yell at him anyways though
1,passing on the twitter flu to others 
1,@traceyfalk Personal records are real records in my book. 
1,@shellrawlins Mooooooorning 
1,@TheRealJordin Wow that deep  Battlefield is beautiful. .You're such an inspiration&lt;3
0,"@pickassoreborn thanks, now its going to rain all weekend "
1,"Thanks to my Canadian friends for inventing Crown Royale. With right amounts, most problems can be forgotten. "
1,listening to africa by karl wolf   &quot;its gonna take alot to drag me away from you&quot; &lt;3
1,@poetrysue LOL  x
0,@stephenfry doesn't work on the blackberry 
0,Tweeting from what feels like my death bed and is apparently having withdrawls from the medicine that was making me sick 
1,"Pussycat dolls In Jakarta , Please Take Over Brazil! "
0,@musewire  i couldn't get muse tickets and my fam can't afford those expensive ones  i cry whenever someone says muse now no lie x
1,im happy  lol-we just finished our deck and it looks AWESOME!!!
1,@LittleLisa69 Hiya  I'll be out from about 10 - BUT hoping that mobile tweets is set up today so may drop a few as I go around 
0,Think something is wrong at UK2 - Live Support offline &amp; email is taking hours to come through 
1,"@busydiscoball yah..geek term which means something like - your work is there, but it's not used "
1,"thanks to Parastoo and her nice friends, now I have an original package of &quot;Friends&quot; in my room. Yoohooo! "
0,@rosaliiinda practicing piano..ima wash my whip later..its all muggt out 
1,The summer is here! Fantastic. An easy ride on my MTB with my fiancee  Now I must start reading on VAT and Tax..
0,Forgot to set the alarm for a 6am ride  Hope I can get in a few easy miles after work.  Tomorrow: racin' the Gap!
0,Im not happy 
1,@diamondblvd Found it! It was plugged into my 360! 
0,@courtney319 Sad times.  Shoulda just started leaving them on benches with &quot;FREE!&quot; post-its on 'em ;)
0,"peer pressure sucks-wouldnt want to be a kid again, kids can be mean. mean kids grow up to be mean adults "
1,@ChicagoLatina80 sorry to hear. Make the most of it and jam!!! 
0,@Mr_Marty What is your GT again? Get you mixed up with someone I used to have on my FL 
0,wondering why it always starts pouring with rain just after I light the BBQ 
0,"me and jodie feel 15 again.  Realising we're 19, now feel old  but are ready to let the good times roll haha. TAKE THAT  xx"
1,@sj32 What was the question? 
1,@tommcfly poetry? i have been reading it all night! i love poetry. and rhyme. and song. 
1,I'm going to Calgary Sunday evening to see @caribouboy. 
0,@gavin8 she's still there... 
1,looking forward to seeing UP! tonight!!!! 
1,"@frommystudio a weekly webcomic is you can't linger on it and if you have a bad week, script or art, it's gone pretty quick  (2 of 2)"
1,@DHughesy that will help the boobs! 
1,@kristenstewart9 all the best and have fun.. 
1,@linux_nut car looks good and at a good price 
1,"@gkarageorge Screw him. Read my blog, brother "
0,@DelbertShoopman Good luck with the footage - none of the stations are breaking in live with it 
1,"@Harkaway I knooow, but a true winner also takes losing much better "
1,@WelshDrew Look at you all blipping  nice work try http://leo.lobato.org/Blipster/ helps you filter out the rubbish :o)
0,but I caught him drinkin my water  http://twitpic.com/4ijt4
1,Im going 2 sleep now..gnite tweetys 
0,can't sleep  and I have to be up for school!!
1,Waiting for Zac Brown Band to come on ahhhhh 
0,@pirrofina  tears lmao...thats cute...
0,is ridiculously sick.  waaaah.
0,"@ShannynB yeah, I missed Rove  Apparently her Twitter isn't real? "
1,WOOHOO today is Friday... only gotta get through today then 3 days of fun 
1,"as im beginning to hate perezhilton for his increasing snobbishness stemming from his rising fame, ive found a new favorite blogger "
1,@DufalBagEnt thanks boo! 
1,"@drewie123 Thanks for playing. It's a helluva movie, enjoy! "
0,Woke up all cold-ish from my nap. Hope I don't get sick! 
0,@cultureshockmag is sad  n it makes me sad &amp; @colinmunroe didn't come I was excited about meeting u! @waledc cracked on my carpal tunnel
0,BNP....European parliament seat! what happened 2 equality? what is this country coming 2? sad times 
1,@DavidArchie Hahaha David you're at exactly 333 updates. 
0,@MatchesMalone yes exactly! but they dont think of the consequences! like us humans have2clear up the...remains 
1,good afternoooon!! 
0,What a day!! 
0,@dianalogs and with real cheese.  but don't we need a membership for that?  
1,"@Gailporter what a terrible programme,  I call it Jeremy vile too "
1,ahhh. people are so bipolar now a days  it's not even funny... hahaha.
1,@LaniiBlunts lol. NP. Love u too 
1,I just joined twitter! 
1,@bruxedo hi  hehe hope you like my stuff too 
0,So sadly n got shocked see my baby little sis got violence from her BF..! 
0,@miiikeo wish you were at the G house last night. Miss you 
1,@windy6 removedor as in acetona? 
1,"@KathyBuckworth Hey Kathy if your daughter wants to come clean out my garage, there's 50 bucks in it for her "
0,is hunggry 
0,The weekend has gone way to fast!! 
1,going to blue sky  then coming back and cleaning..cant wait til thursday)
0,@MaryLandrum no  nothing my parents and i can agree on
1,"@tiiiink neither could I at first, so I called her benny "
0,"@tonycarrera oh no! poor dear! between her surgery and now being sick, she can't seem to catch a break "
0,Bah this hotel only has wireless-G  want-N...
0,got the @jonasbrothers new album today! But we're not going to their concert in London tonight 
1,@peterfacinelli just haning out with some friends.  I hope your family has a great weekend. 
1,@microgeist Or by leaving letters out of the word &quot;brevity&quot; 
1,&quot;cartographic hedgehogs&quot; yay! 
0,I made too strong squash 
1,@djtracyyoung got me on the floor with Defying Gravity 
0,My ankle op's in 7hours &amp; i am soo nervous! Nd sleep bt i thnk i'l b awake all nite 
0,    Nobody likes Year One in the reviews I've read. I'm disappointed. But maybe now I'll like it more since I'm not expecting much..
1,Watch them cause it'll make me smile  http://bit.ly/nZZQV /// http://bit.ly/etD3a /// Comment - Rate - Subscribe - Fav!
1,@djannalyze well that's nice your making friends 
0,@shamara99 link is broke friend  redo it pls..nd im calln to request a sng 
1,@theRoose Good deal!  Laura can come but she'll know nothing...
1,&amp; this weekend was the shitt. (: apart from the drama. one night can't exactly change you forever. -__- can't wait to leave tomorrow! 
1,"At VBS with Stew, Jay, Meg, and Sam. Haha "
1,chloe&amp;jessica.  chloe's peeling dead skin off my back. Gotta love herr. 
1,"@bigbadbob75 good, so what's the plan? "
0,I'm up.. Time to get ready for work... I'm super tired 
0,Gah stuck at a counter and 15 minutes to VGL 
1,Sprinkers need some work  #fb
1,Tamagotchi Plus Color! I want one! Now those bring back memories 
1,@LowcountryBBQ good morning!  You hVe me thinking #BBQ already... 
0,off to see angels and demons today ... early hope its good will tweet how it is when i get back.... to bad i cant do it on my phone 
0,back home... now getting ready to go out with @kikuuu for the last day she is here 
0,Very sad the family home that i spent many happy years in is now up for sale   http://tinyurl.com/ncbmmo
1,Ayeeeee; Happy Mother's Day?! 
0,"Why have I yet to buy more hayfever medication?! I don't know which is worse: the sneezing fits or the sore, irritated eyes. "
1,brandnew german basenotes presented tomorrow in Hamburg is already online. looks good -  moreover &quot;usual suspects&quot; are already at work 
0,"@mcflymusic Oh, i want go!  but is impossible to me, is so far from brazil "
1,"Going to work on the next blog post, then getting some sleep. "
1,"Woohoo, Doctor Who marathon at the scifi-channel &lt;3 And I've got a job! yaaaaay. I work in a clothingstore now "
1,Just finished eating lunch 
0,@KatherineLunt does he  who ?x
1,"@HMXCasey Any chance the game would feature 3 geetars a la the band themselves?   Can't wait for this, comes 1 day before my bday "
1,@Chantalalalaxo that's lykke li 
0,At work as always 
1,@Yasmimmm  Thanks
0,I hate waking up early and not being able to go back to sleep 
0,Yay MLG columbus but its gay cozx instinct lost 
0,Slept all day now can't sleep at night 
0,07:36. Noite UP. 
1,I hope I passed my Civics exam.. =/ --- 17 days until my month long trip out of the country 
1,"Hold your own, know your own, go your own way!!...  "
0,"At home, wondering where the hell everybody is!! "
1,@Fejennings Mooning at the neighbours Frank...whatever next haha 
0,My son can't breath and is being rushed to Childrens Mercy Hospital! 
0,"@nicmoneymil, @kadi707, &amp; @lizlove_ all living w/out saki "
1,Whedonverse Bloody Board updates: http://dontkillspike.proboards.com/ Seems like another busy one today. 
0,Studying physics  Not fun at all. I'm really tired.
0,@thatchickleelee I love Nutella. Haven't had it in a while though. 
0,@prinzita :no performances on the horizon. 
1,basically I LOVE Jethro Gibbs. and I really want to see Post Grad this summer. it looks great. 
1,just downloading Windows Seven  Developer Release was yesterday
0,http://twitpic.com/6u8ht - mr bump is a keychain.... 
0,so bored. Beginning to realise that having a definite leaving date makes time drag even more 
1,Playing Fuzzball reminds me of Pro-Life  http://fuzz-ball.com/twitter
0,"@maddow Thanks, but was it really worth giving Army of God a hit?  "
1,"Um, why is there now a campaign to get me to change my name to FLOF1? Let's focus on the real issue: #maxout of #f1 "
0,@mfgreer I am lost. Please help me find a good home. 
1,Finally in HAWAII!! Yest. was awfully long...yuck! VERY warm welcoming though. Getting used to the time difference! ALoHa 
0,"@Jennybeeean Wish I live there, haha. Well yea but didn't get the chance to talk  Thanks Jenny! My friends told me we look alike haha lol"
1,@hollienicole awesome!!!! have a great time! 
1,@KatieP2008 i no is'nt he adorable hehe yer gd had a nice day of shoppin n sunbathin  xx
1,@teenhearts what's your favourite movie? 
1,@katgkionis: FollowFriday is a blind 'Shout Out' recomendng ppl U like 2 follow.Goto http://twendz.com &amp; srch 4 followfriday 2 C! 
0,I hate when my phone refuses to tweet 
1,unpacking and daydreaming...came back yesterday form the beautiful isle of Ibiza 
1,@jakesonaplane ha yup  its gonna be a good day
0,"@fabuleuxdestin &quot;once rob, always rob!&quot; - SS hm... ok. you know i'm here for you! (ll...) btw, you're not coming, uh?! "
0,"Paying some bills, goddam they pile up "
0,"http://bit.ly/47etHn  soooo cute, but not my size "
1,@FrankMillar  Good morning! It looks like we are going to have  nice weather today! (Chicago) wish U an awesome day! 
0,carrie underwood - just a dream is very sad..especially with the video 
0,@mishok13 that sucks 
0,"@tashadhanraj Yeah, they say it's 'compulsory' but you try getting a job with GCSEs, they laugh in your face "
0,So sad that the book store isn't open for me to get a sweet tea. 
1,Goooooooooooooood morning!  
1,LOVE my job!As a kid I wasnt sure Id b able 2 say this1day-Switchin Furniture..again-TK God4Movers!In lv w/this loaner corvette!YES!Speed 
1,Social studies is a funn class   lunch is bexttt!!
0,UM THANK YOU IF YOU TEXTED ME BECAUSE I HAVE LIKE 17 TEXT MESSAGES and i dont have their number on my phone so their identity is unknown 
0,Its so hot today! Heard theres supposed to be storms  I hope not
0,ahh just finished my fashion show case power point for fashion design it was so hard 
0,@KING617 I REEEALLY wish I could be there  haven't been n a while.what's goin on down there lately?
1,"@em26miles Hope you're doing ok! If you need/want some post-op ice cream, we're on top of that! (I know that's for tonsils, but why not?) "
1,"@smoshian meh, i think i'll keep following. you're starting to scare me with your threats. "
1,listening to India arie and getting ready for a wonderful sunny day 
1,"but settled for a great, victorious game of soccer to work out some frustrations instead "
1,i'm on my r&amp;b groove - starting with @epiphanygirl 's album 
1,@Yvette_Syversen Hey Yvette! I'm part of Carrie's MasterMind with you and just notied your post  Welcome!
0,@thatiusstatic me too  I'd go but there's no way i could afford it and being half way through yr 11 it wouldn't be the best idea.
1,"Waking up, going to the lake with Danielle &amp; Giuseppe! "
0,doesn't feel good 
0,@jelly1996 miss u 2 
1,"@Sexyjoy386 Hmm thats gonna be hard, because no store is opend now "
1,"by the way, just to make myself clear...there will NEVER be a first time, my God NEVER fails..not now not ever!.. "
1,@smileytee haha yes that will be next to buy 
0,i need to go out soon   i dont wanna but this weight aint gonna shift its self is it lol x
0,About to revise for exams 
1,@deadlyseagal http://twitpic.com/66zex - Nice Day 
0,"@thekeenanator  oh darn! I'll be there for work actually, but I'm hoping to sneak away and go to Disney for a few days haha"
0,"Yeah! Friday! Nice weather, and want to leave work early but won't "
1,going out in ten minutess  bye twitter xxxx
0,Waiting for the monsoon clouds  No rains ..water shortage in Mumbai.. All lakes dry.
1,"@Lemlina aww but that's only because the Gary Larson Group appeared on digg.com, Shaun's a bit of an expert in sneaking into groups "
0,misses william and hopes he's thinking of her 
1,and i'm thinking about watching some good ol' one tree hill in bed 
1,@jithinkr ithellam yen en kitta kekura  u can do anything u please 
0,@MsUndrstood My sister is graduating too &amp; I can't afford to buy here anything 
0,Ew I have creepy followers 
1,I'm excited!! potential promotion ahead! finally  what's in store next? 
1,Up early watching classic X Files reruns  FTW
0,back to work.. 
1,I am awaiting the results of the European elections...bye bye Labour 
1,@jtchan83 we will be praying for your guys. (and your husband is a saint! 
1,"@honorsociety http://twitpic.com/6fs89 - you guys always crack me up. You look cute, not tired. "
